Accession,Abundance R1 127C Sample,Abundance R2 127C Sample,Abundance R3 127C Sample,Abundance R1 127N Sample,Abundance R2 127N Sample,Abundance R3 127N Sample,Abundance R1 128N Sample,Abundance R2 128N Sample,Abundance R3 128N Sample,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,normalized_Abundance R1 127C Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R1 127N Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R2 128N Sample,normalized_Abundance R3 128N Sample,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,Abundance R1 128C Sample,Abundance R3 128C Sample,Abundance R2 128C Sample,Abundance R1 129N Sample,Abundance R3 129N Sample,Abundance R2 129N Sample,Abundance R1 129C Sample,Abundance R3 129C Sample,Abundance R2 129C Sample,Abundance R1 130N Sample,Abundance R3 130N Sample,Abundance R2 130N Sample,Abundance R1 130C Sample,Abundance R3 130C Sample,Abundance R2 130C Sample,BL
NP_001139488.1,179.4,0.0,38.0,250.7,0.0,54.0,276.1,0.0,63.7,236.5,54.3,0.0,272.85833333333335,0.0,16.416666666666668,255.94166666666663,0.0,16.883333333333333,272.85833333333335,0.0,29.558333333333337,232.20000000000002,16.05,0.0,245.8,56.0,,294.5,74.8,,253.2,57.4,,286.9,65.6,,225.2,46.0,,bla2292
XP_005264696.2,96.7,847.5,187.0,116.3,1360.6,284.5,119.8,1188.2,295.7,133.6,316.8,1299.9,139.69166666666666,1100.45,210.73333333333335,128.73333333333332,1235.325,218.55833333333337,126.94166666666666,1095.2749999999999,217.79999999999998,136.43333333333334,232.20000000000002,1163.2333333333333,148.8,275.4,1434.4,105.7,348.6,1427.1,125.0,176.7,912.3,92.8,233.6,973.9,93.1,157.0,867.5,bla2294
NP_001139686.1,1107.9,0.0,414.9,2034.7,0.0,485.0,2141.3,0.0,518.2,2138.7,494.9,0.0,1793.9083333333338,0.0,539.5000000000001,2122.4500000000003,0.0,400.80833333333334,2105.0083333333337,0.0,409.5916666666667,2116.0833333333335,386.7749999999999,0.0,2024.0,578.3,,2007.5,617.6,,1770.1,531.6,,2039.2,538.0,,1226.8,521.2,,bla2295
NP_653182.1,139.5,226.3,120.3,177.7,355.4,165.1,158.9,367.2,145.1,168.1,178.0,321.1,210.73333333333335,314.16666666666663,117.75833333333334,187.67499999999998,366.5083333333334,120.04166666666667,164.79166666666669,377.2,97.08333333333333,166.14166666666665,120.04166666666667,324.43333333333334,187.0,190.5,349.9,178.0,173.4,452.1,180.8,176.2,312.1,179.1,183.9,368.2,148.3,140.2,239.7,bla2296
NP_848696.1,928.5,226.7,1690.3,2623.7,387.7,4379.9,3287.2,415.3,6333.2,3976.1,7499.1,427.3,1458.0999999999997,315.7416666666666,2377.525,2746.3833333333328,398.9666666666667,3703.6,3403.433333333334,424.05833333333334,5102.041666666666,4101.116666666666,6060.591666666667,418.45000000000005,2004.1,3084.1,348.9,1884.6,3614.3,374.1,2403.9,3814.7,360.5,2568.0,4397.4,466.7,1503.5,2322.9,344.8,bla2297
NP_005994.2,1287.0,479.4,1528.6,2115.1,912.1,2608.5,2054.1,995.4,2545.4,2192.9,2652.0,1030.1,2090.8083333333334,649.1333333333333,2116.0833333333335,2213.8833333333337,869.9833333333332,2283.275,2038.4833333333338,928.625,2136.3750000000005,2176.65,2242.0750000000003,945.625,1825.4,2154.3,748.0,1709.1,1996.0,683.3,1374.3,1563.1,544.4,1491.8,1653.1,611.4,1354.5,1527.3,434.7,bla2298
NP_006398.1,141.4,1658.0,0.0,193.7,2417.3,0.0,194.8,2258.1,0.0,221.3,0.0,2697.0,215.18333333333337,2150.9666666666667,0.0,201.34166666666667,2147.1000000000004,0.0,196.79999999999995,2018.8166666666668,0.0,217.79999999999998,0.0,2346.1583333333333,186.8,,2217.1,109.4,,1962.7,151.7,,1738.9,128.7,,1829.5,151.9,,2185.9,bla2299
NP_076983.1,39.7,17.5,0.0,44.7,19.2,0.0,49.7,20.6,0.0,50.6,0.0,19.8,63.82500000000001,41.574999999999996,0.0,57.79999999999999,41.016666666666666,0.0,61.525,41.916666666666664,0.0,61.84166666666667,0.0,38.375,56.3,,25.7,55.5,,18.6,39.6,,18.5,46.6,,14.5,36.9,,12.1,bla2301
NP_056235.5,150.0,203.7,0.0,188.1,231.8,0.0,201.6,233.9,0.0,207.9,0.0,222.5,227.31666666666672,280.75000000000006,0.0,193.96666666666667,252.35000000000002,0.0,203.11666666666665,255.94166666666663,0.0,204.56666666666663,0.0,233.73333333333338,256.8,,267.1,214.0,,232.8,188.4,,207.2,182.8,,222.1,134.8,,203.8,bla2302
NP_064550.3,582.8,249.7,0.0,988.1,339.6,0.0,1086.1,422.8,0.0,1101.9,0.0,357.2,858.6666666666666,348.56666666666666,0.0,983.5916666666666,354.9083333333333,0.0,1039.5166666666667,431.1583333333333,0.0,1058.0333333333333,0.0,354.9083333333333,834.7,,322.7,1244.3,,496.8,628.3,,314.8,678.2,,361.0,424.0,,190.0,bla2303
NP_002804.2,665.7,566.1,2565.1,1049.0,679.6,4676.5,1093.3,755.9,7824.6,1054.2,5630.2,742.9,983.5916666666666,749.3499999999999,3621.6083333333336,1043.9416666666668,661.9666666666666,3951.441666666666,1055.3166666666666,733.5416666666666,6378.991666666666,1013.7000000000003,4543.158333333334,698.9583333333331,951.9,4219.5,795.3,1209.2,7206.0,976.7,798.1,4309.6,660.8,858.4,5132.3,634.8,602.2,2049.2,598.6,bla2305
NP_064551.3,136.8,28.7,0.0,199.7,34.8,0.0,227.1,32.0,0.0,228.6,0.0,30.7,206.0583333333333,58.46666666666666,0.0,210.73333333333335,55.275,0.0,225.92499999999998,52.51666666666666,0.0,226.55000000000004,0.0,48.58333333333334,201.2,,38.1,162.0,,21.6,139.9,,25.2,158.8,,32.0,135.2,,33.8,bla2306
NP_037467.2,0.0,290.2,348.1,0.0,414.9,506.6,0.0,471.5,526.1,0.0,493.8,436.2,0.0,406.8916666666667,440.3833333333334,0.0,425.01666666666665,422.26666666666665,0.0,475.5249999999999,424.05833333333334,0.0,385.0083333333334,425.01666666666665,,516.7,439.3,,715.6,536.5,,433.7,379.4,,540.5,396.0,,380.8,281.7,bla2307
NP_001005369.1,0.0,110.1,81.6,0.0,148.7,102.1,0.0,134.3,109.4,0.0,101.9,150.9,0.0,162.37499999999997,66.575,0.0,170.91666666666666,61.84166666666667,0.0,159.475,64.17500000000001,0.0,55.900000000000006,166.75833333333335,,128.4,152.0,,117.2,110.5,,89.7,123.4,,97.5,103.4,,82.3,112.6,bla2308
NP_002757.2,695.6,76.0,856.4,783.9,113.4,1017.7,790.8,95.4,1188.1,750.2,1074.6,111.2,1029.2416666666668,117.75833333333334,1182.6333333333334,781.8166666666666,135.67499999999998,888.5749999999999,750.5166666666665,116.53333333333332,1002.75,706.9166666666665,912.8166666666666,123.67500000000001,963.7,1226.8,114.2,904.1,1450.5,181.0,793.7,1020.7,74.2,738.3,1048.2,84.9,754.1,894.2,70.1,bla2309
